"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"วันพระ แรม 14 ค่ำ เดือนอ้าย(1)","20220102",,,,"true","วันอาทิตย์ แรม 14 ค่ำ เดือนอ้าย(1) ปีฉลู","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนยี่(2)","20220110",,,,"true","วันจันทร์ ขึ้น 8 ค่ำ เดือนยี่(2) ปีฉลู","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนยี่(2)","20220117",,,,"true","วันจันทร์ ขึ้น 15 ค่ำ เดือนยี่(2) ปีฉลู","3",""
"วันพระ แรม 8 ค่ำ เดือนยี่(2)","20220125",,,,"true","วันอังคาร แรม 8 ค่ำ เดือนยี่(2) ปีฉลู","3",""
"วันพระ แรม 15 ค่ำ เดือนยี่(2)","20220201",,,,"true","วันอังคาร แรม 15 ค่ำ เดือนยี่(2) ปีฉลู","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนสาม(3)","20220209",,,,"true","วันพุธ ขึ้น 8 ค่ำ เดือนสาม(3) ปีฉลู","3",""
"วันมาฆบูชา ขึ้น 15 ค่ำ เดือนสาม(3)","20220216",,,,"true","วันพุธ ขึ้น 15 ค่ำ เดือนสาม(3) ปีฉลู","3",""
"วันพระ แรม 8 ค่ำ เดือนสาม(3)","20220224",,,,"true","วันพฤหัสบดี แรม 8 ค่ำ เดือนสาม(3) ปีฉลู","3",""
"วันพระ แรม 14 ค่ำ เดือนสาม(3)","20220302",,,,"true","วันพุธ แรม 14 ค่ำ เดือนสาม(3) ปีฉลู","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนสี่(4)","20220310",,,,"true","วันพฤหัสบดี ขึ้น 8 ค่ำ เดือนสี่(4) ปีฉลู","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนสี่(4)","20220317",,,,"true","วันพฤหัสบดี ขึ้น 15 ค่ำ เดือนสี่(4) ปีฉลู","3",""
"วันพระ แรม 8 ค่ำ เดือนสี่(4)","20220325",,,,"true","วันศุกร์ แรม 8 ค่ำ เดือนสี่(4) ปีฉลู","3",""
"วันพระ แรม 15 ค่ำ เดือนสี่(4)","20220401",,,,"true","วันศุกร์ แรม 15 ค่ำ เดือนสี่(4) ปีฉลู","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนห้า(5)","20220409",,,,"true","วันเสาร์ ขึ้น 8 ค่ำ เดือนห้า(5) ปีขาล","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนห้า(5)","20220416",,,,"true","วันเสาร์ ขึ้น 15 ค่ำ เดือนห้า(5) ปีขาล","3",""
"วันพระ แรม 8 ค่ำ เดือนห้า(5)","20220424",,,,"true","วันอาทิตย์ แรม 8 ค่ำ เดือนห้า(5) ปีขาล","3",""
"วันพระ แรม 14 ค่ำ เดือนห้า(5)","20220430",,,,"true","วันเสาร์ แรม 14 ค่ำ เดือนห้า(5) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนหก(6)","20220508",,,,"true","วันอาทิตย์ ขึ้น 8 ค่ำ เดือนหก(6) ปีขาล","3",""
"วันวิสาขบูชา ขึ้น 15 ค่ำ เดือนหก(6)","20220515",,,,"true","วันอาทิตย์ ขึ้น 15 ค่ำ เดือนหก(6) ปีขาล","3",""
"วันอัฏฐมีบูชา แรม 8 ค่ำ เดือนหก(6)","20220523",,,,"true","วันจันทร์ แรม 8 ค่ำ เดือนหก(6) ปีขาล","3",""
"วันพระ แรม 15 ค่ำ เดือนหก(6)","20220530",,,,"true","วันจันทร์ แรม 15 ค่ำ เดือนหก(6) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนเจ็ด(7)","20220607",,,,"true","วันอังคาร ขึ้น 8 ค่ำ เดือนเจ็ด(7) ปีขาล","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนเจ็ด(7)","20220614",,,,"true","วันอังคาร ขึ้น 15 ค่ำ เดือนเจ็ด(7) ปีขาล","3",""
"วันพระ แรม 8 ค่ำ เดือนเจ็ด(7)","20220622",,,,"true","วันพุธ แรม 8 ค่ำ เดือนเจ็ด(7) ปีขาล","3",""
"วันพระ แรม 14 ค่ำ เดือนเจ็ด(7)","20220628",,,,"true","วันอังคาร แรม 14 ค่ำ เดือนเจ็ด(7) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนแปด(8)","20220706",,,,"true","วันพุธ ขึ้น 8 ค่ำ เดือนแปด(8) ปีขาล","3",""
"วันอาสาฬหบูชา ขึ้น 15 ค่ำ เดือนแปด(8)","20220713",,,,"true","วันพุธ ขึ้น 15 ค่ำ เดือนแปด(8) ปีขาล","3",""
"วันเข้าพรรษา แรม 1 ค่ำ เดือนแปด(8)","20220714",,,,"true","วันพฤหัสบดี แรม 1 ค่ำ เดือนแปด(8) ปีขาล","3",""
